original_id	matched_id	similarity_score	notes
6ELZ-W	3jct_W	NA	Stage 2
5XYI-G	5xyi_G	NA	Stage 1
6AZ1-F	6az1_F	NA	Stage 1
5T2A-N	5t2a_N	NA	Stage 1
5IT7-RR	5it7_RR	NA	Stage 1
4V3P-LI	4v3p_LI	NA	Stage 1
5XY3-O	5xy3_O	NA	Stage 1
6OKK-B	3j7a_B	NA	Stage 2
6HA8-S	3j3v_S	NA	Stage 2
5XXU-B	5xxu_B	NA	Stage 1
5XY3-J	5xy3_J	NA	Stage 1
5ZWO-W	5nrl_L	NA	Stage 2
3J92-F	3j92_F	NA	Stage 1
5GUP-B	5gpn_c	NA	Stage 2
6AZ1-B	6az1_B	NA	Stage 1
6HA8-D	3j3v_D	NA	Stage 2
4V8M-BS	4v8m_BS	NA	Stage 1
6AZ1-C	6az1_C	NA	Stage 1
6DZI-T	6dzi_T	NA	Stage 1
3JB9-J	3jb9_J	NA	Stage 1
4V6W-CF	4v6w_CF	NA	Stage 1
5XXU-C	5xxu_C	NA	Stage 1
5T5H-I	5t5h_I	NA	Stage 1
5XY3-F	5xy3_F	NA	Stage 1
5XXB-O	5xxb_O	NA	Stage 1
4V6X-Cu	4v6x_Cu	NA	Stage 1
4V7E-CU	4v7e_CU	NA	Stage 1
4V6W-AF	4v6w_AF	NA	Stage 1
5XTI-V	5xtc_V	NA	Stage 2
5OQL-X	5oql_X	NA	Stage 1
5MMM-I	5mmi_I	NA	Stage 2
6D9J-BB	6d9j_BB	NA	Stage 1
4V7E-BA	4v3p_SA	NA	Stage 2
6AZ1-A	6az1_A	NA	Stage 1
4V6W-CD	4v6w_CD	NA	Stage 1
5IT7-CC	5it7_CC	NA	Stage 1
5NGM-AO	5nd8_o	NA	Stage 2
5MMM-j	5mmj_j	NA	Stage 2
5OQL-U	5oql_U	NA	Stage 1
5O31-M	5ldw_M	NA	Stage 2
4V7E-BG	4v7e_BG	NA	Stage 1
5IT7-EE	5it7_EE	NA	Stage 1
5OPT-P	5opt_P	NA	Stage 1
5XXU-F	5xxu_F	NA	Stage 1
4V7E-BE	4v7e_BE	NA	Stage 1
5OPT-U	5opt_U	NA	Stage 1
5IT7-QQ	5it7_QQ	NA	Stage 1
4V3P-LA	4v3p_LA	NA	Stage 1
5V93-o	5v93_o	NA	Stage 1
4V3P-LB	4v3p_LB	NA	Stage 1
3JB9-R	3jb9_R	NA	Stage 1
6GAZ-AN	6gaw_An	NA	Stage 2
6GB2-BW	4v19_W	NA	Stage 2
6GAW-AK	5aj3_K	NA	Stage 2
5V93-E	5v7q_E	NA	Stage 2
4V6W-CH	4v6w_CH	NA	Stage 1
5U0S-f	3h0g_F	NA	Stage 2
5V93-P	5v7q_P	NA	Stage 2
6G2J-L	6g2j_L	NA	Stage 1
6GCS-J	6gcs_J	NA	Stage 1
5AJ4-AP	5aj4_AP	NA	Stage 1
3JB9-G	3jb9_G	NA	Stage 1
4V6W-CP	4v6w_CP	NA	Stage 1
6HIV-BB	6hiv_BB	NA	Stage 1
3J9M-I	3j7y_I	NA	Stage 2
5V93-Q	5v7q_Q	NA	Stage 2
4V3P-LF	4v3p_LF	NA	Stage 1
4V6W-AE	4v6w_AE	NA	Stage 1
5XXB-D	5xxb_D	NA	Stage 1
6MSK-B	5gjq_I	NA	Stage 2
5XXB-F	5xxb_F	NA	Stage 1
4V3P-LE	4v3p_LE	NA	Stage 1
5IT7-DD	5it7_DD	NA	Stage 1
5AJ4-AK	5aj4_AK	NA	Stage 1
6GAZ-AP	5aj3_p	NA	Stage 2
